---Loaded RQVAE Iter 169999---
Device: cuda, Num Parameters: 21646848
{'h@1_slice_:1': 0.014398783705227385, 'h@5_slice_:1': 0.053883647095649065, 'h@10_slice_:1': 0.09394982784062961, 'h@1_pos_0': 0.014398783705227385, 'h@5_pos_0': 0.053883647095649065, 'h@10_pos_0': 0.09394982784062961, 'h@1_slice_:2': 0.005902606984751598, 'h@5_slice_:2': 0.019407056298349955, 'h@10_slice_:2': 0.030765103072038634, 'h@1_pos_1': 0.015248401377274963, 'h@5_pos_1': 0.06497339355184904, 'h@10_pos_1': 0.11308858382149085, 'h@1_slice_:3': 0.004874122434378214, 'h@5_slice_:3': 0.015606135133926575, 'h@10_slice_:3': 0.024683629208961232, 'h@1_pos_2': 0.014577650583553191, 'h@5_pos_2': 0.06273755757277646, 'h@10_pos_2': 0.1172025220229844, 'h@1_slice_:4': 0.004829405714796763, 'h@5_slice_:4': 0.015158967938112061, 'h@10_slice_:4': 0.023655144658587847, 'h@1_pos_3': 0.8484997540580423, 'h@5_pos_3': 0.9309573849662389, 'h@10_pos_3': 0.9423154317399276}
{'h@1_slice_:1': 0.017618387515091892, 'h@5_slice_:1': 0.05558288243974422, 'h@10_slice_:1': 0.0877789205383893, 'h@1_pos_0': 0.017618387515091892, 'h@5_pos_0': 0.05558288243974422, 'h@10_pos_0': 0.0877789205383893, 'h@1_slice_:2': 0.0076912757680096585, 'h@5_slice_:2': 0.022403076510307204, 'h@10_slice_:2': 0.032732638733622504, 'h@1_pos_1': 0.018110271430487858, 'h@5_pos_1': 0.0685060143987837, 'h@10_pos_1': 0.11662120466842553, 'h@1_slice_:3': 0.006305057460984662, 'h@5_slice_:3': 0.01837857174797657, 'h@10_slice_:3': 0.027187765505522515, 'h@1_pos_2': 0.016500469525555606, 'h@5_pos_2': 0.07011581630371595, 'h@10_pos_2': 0.1221660778965255, 'h@1_slice_:4': 0.006170907302240308, 'h@5_slice_:4': 0.017707820954254796, 'h@10_slice_:4': 0.02611456423556768, 'h@1_pos_3': 0.8347270044269552, 'h@5_pos_3': 0.9305996512095873, 'h@10_pos_3': 0.9416446809462058}
{'h@1_slice_:1': 0.020435540848723337, 'h@5_slice_:1': 0.058400035773375665, 'h@10_slice_:1': 0.08844967133211108, 'h@1_pos_0': 0.020435540848723337, 'h@5_pos_0': 0.058400035773375665, 'h@10_pos_0': 0.08844967133211108, 'h@1_slice_:2': 0.009435227831686268, 'h@5_slice_:2': 0.02522022984393865, 'h@10_slice_:2': 0.03577337566516121, 'h@1_pos_1': 0.019720073335420113, 'h@5_pos_1': 0.07078656709743773, 'h@10_pos_1': 0.11796270625586906, 'h@1_slice_:3': 0.008093726244242722, 'h@5_slice_:3': 0.021821759155748334, 'h@10_slice_:3': 0.030496802754549926, 'h@1_pos_2': 0.018289138308813666, 'h@5_pos_2': 0.07177033492822966, 'h@10_pos_2': 0.12708491705048516, 'h@1_slice_:4': 0.00800429280507982, 'h@5_slice_:4': 0.02137459195993382, 'h@10_slice_:4': 0.029602468362920895, 'h@1_pos_3': 0.839153959665519, 'h@5_pos_3': 0.9311362518445647, 'h@10_pos_3': 0.9421365648616018}
{'h@1_slice_:1': 0.019496489737512855, 'h@5_slice_:1': 0.05853418593212002, 'h@10_slice_:1': 0.08979117291955462, 'h@1_pos_0': 0.019496489737512855, 'h@5_pos_0': 0.05853418593212002, 'h@10_pos_0': 0.08979117291955462, 'h@1_slice_:2': 0.009435227831686268, 'h@5_slice_:2': 0.025980414076823326, 'h@10_slice_:2': 0.0369807270938604, 'h@1_pos_1': 0.01963063989625721, 'h@5_pos_1': 0.07208335196529983, 'h@10_pos_1': 0.11957250816080132, 'h@1_slice_:3': 0.008227876402987076, 'h@5_slice_:3': 0.022760810266958816, 'h@10_slice_:3': 0.03192773778115637, 'h@1_pos_2': 0.01904932254169834, 'h@5_pos_2': 0.07230693556320708, 'h@10_pos_2': 0.12869471895541743, 'h@1_slice_:4': 0.008138442963824174, 'h@5_slice_:4': 0.022179492912399946, 'h@10_slice_:4': 0.03063095291329428, 'h@1_pos_3': 0.8391092429459375, 'h@5_pos_3': 0.9308232348074945, 'h@10_pos_3': 0.941957697983276}
{'h@1_slice_:1': 0.02021195725081608, 'h@5_slice_:1': 0.06018870455663373, 'h@10_slice_:1': 0.08988060635871753, 'h@1_pos_0': 0.02021195725081608, 'h@5_pos_0': 0.06018870455663373, 'h@10_pos_0': 0.08988060635871753, 'h@1_slice_:2': 0.01006126190582659, 'h@5_slice_:2': 0.02714304878594106, 'h@10_slice_:2': 0.03800921164423378, 'h@1_pos_1': 0.020927424764119303, 'h@5_pos_1': 0.07329070339399901, 'h@10_pos_1': 0.11890175736707954, 'h@1_slice_:3': 0.008675043598801592, 'h@5_slice_:3': 0.02383401153691365, 'h@10_slice_:3': 0.03295622233152976, 'h@1_pos_2': 0.018825738943791085, 'h@5_pos_2': 0.07297768635692886, 'h@10_pos_2': 0.1269507668917408, 'h@1_slice_:4': 0.008496176720475786, 'h@5_slice_:4': 0.023297410901936235, 'h@10_slice_:4': 0.03201717122031928, 'h@1_pos_3': 0.8497965389259043, 'h@5_pos_3': 0.9303313508920985, 'h@10_pos_3': 0.9407056298349953}
{'h@1_slice_:1': 0.01998837365290882, 'h@5_slice_:1': 0.06220095693779904, 'h@10_slice_:1': 0.09354737736439654, 'h@1_pos_0': 0.01998837365290882, 'h@5_pos_0': 0.06220095693779904, 'h@10_pos_0': 0.09354737736439654, 'h@1_slice_:2': 0.009703528149174977, 'h@5_slice_:2': 0.02763493270133703, 'h@10_slice_:2': 0.03975316370791039, 'h@1_pos_1': 0.020033090372490275, 'h@5_pos_1': 0.07311183651567321, 'h@10_pos_1': 0.12145061038322229, 'h@1_slice_:3': 0.008406743281312882, 'h@5_slice_:3': 0.024460045611053974, 'h@10_slice_:3': 0.03465545767562492, 'h@1_pos_2': 0.018244421589232215, 'h@5_pos_2': 0.07355900371148773, 'h@10_pos_2': 0.13101998837365292, 'h@1_slice_:4': 0.008227876402987076, 'h@5_slice_:4': 0.02383401153691365, 'h@10_slice_:4': 0.033716406564414436, 'h@1_pos_3': 0.8444305325761302, 'h@5_pos_3': 0.9304207843312614, 'h@10_pos_3': 0.9400348790412736}
{'h@1_slice_:1': 0.02289496042570317, 'h@5_slice_:1': 0.06385547556231275, 'h@10_slice_:1': 0.09547019630639897, 'h@1_pos_0': 0.02289496042570317, 'h@5_pos_0': 0.06385547556231275, 'h@10_pos_0': 0.09547019630639897, 'h@1_slice_:2': 0.011984080847829003, 'h@5_slice_:2': 0.028708133971291867, 'h@10_slice_:2': 0.04042391450163216, 'h@1_pos_1': 0.023520994499843493, 'h@5_pos_1': 0.07758350847381836, 'h@10_pos_1': 0.1249385145105755, 'h@1_slice_:3': 0.010329562223315297, 'h@5_slice_:3': 0.025399096722264456, 'h@10_slice_:3': 0.034879041273532176, 'h@1_pos_2': 0.020882708044537852, 'h@5_pos_2': 0.07548182265349014, 'h@10_pos_2': 0.1321379063631892, 'h@1_slice_:4': 0.01010597862540804, 'h@5_slice_:4': 0.02463891248937978, 'h@10_slice_:4': 0.033895273442740244, 'h@1_pos_3': 0.8381254751151456, 'h@5_pos_3': 0.9307338013683316, 'h@10_pos_3': 0.94146581406788}
{'h@1_slice_:1': 0.022716093547377365, 'h@5_slice_:1': 0.06211152349863614, 'h@10_slice_:1': 0.09354737736439654, 'h@1_pos_0': 0.022716093547377365, 'h@5_pos_0': 0.06211152349863614, 'h@10_pos_0': 0.09354737736439654, 'h@1_slice_:2': 0.011492196932433037, 'h@5_slice_:2': 0.029200017886687833, 'h@10_slice_:2': 0.0400214640253991, 'h@1_pos_1': 0.0223136430711443, 'h@5_pos_1': 0.077449358315074, 'h@10_pos_1': 0.12480436435183115, 'h@1_slice_:3': 0.009927111747082233, 'h@5_slice_:3': 0.02553324688100881, 'h@10_slice_:3': 0.03438715735813621, 'h@1_pos_2': 0.020390824129141887, 'h@5_pos_2': 0.07655502392344497, 'h@10_pos_2': 0.12878415239458033, 'h@1_slice_:4': 0.009837678307919331, 'h@5_slice_:4': 0.025086079685194294, 'h@10_slice_:4': 0.033671689844832986, 'h@1_pos_3': 0.8387067924697045, 'h@5_pos_3': 0.9296606000983768, 'h@10_pos_3': 0.9407056298349953}
{'h@1_slice_:1': 0.0223136430711443, 'h@5_slice_:1': 0.0610383222286813, 'h@10_slice_:1': 0.09166927514197558, 'h@1_pos_0': 0.0223136430711443, 'h@5_pos_0': 0.0610383222286813, 'h@10_pos_0': 0.09166927514197558, 'h@1_slice_:2': 0.0118946474086661, 'h@5_slice_:2': 0.02937888476501364, 'h@10_slice_:2': 0.04078164825828377, 'h@1_pos_1': 0.022760810266958816, 'h@5_pos_1': 0.07767294191298127, 'h@10_pos_1': 0.12739793408755534, 'h@1_slice_:3': 0.010553145821222555, 'h@5_slice_:3': 0.025488530161427356, 'h@10_slice_:3': 0.03532620846934669, 'h@1_pos_2': 0.021240441801189464, 'h@5_pos_2': 0.07539238921432724, 'h@10_pos_2': 0.1277109511246255, 'h@1_slice_:4': 0.010418995662478201, 'h@5_slice_:4': 0.02499664624603139, 'h@10_slice_:4': 0.03447659079729911, 'h@1_pos_3': 0.8416580959620802, 'h@5_pos_3': 0.9305549344900058, 'h@10_pos_3': 0.9402584626391808}
{'h@1_slice_:1': 0.021195725081608014, 'h@5_slice_:1': 0.05978625408040066, 'h@10_slice_:1': 0.09068550731118365, 'h@1_pos_0': 0.021195725081608014, 'h@5_pos_0': 0.05978625408040066, 'h@10_pos_0': 0.09068550731118365, 'h@1_slice_:2': 0.01162634709117739, 'h@5_slice_:2': 0.028618700532128963, 'h@10_slice_:2': 0.04131824889326119, 'h@1_pos_1': 0.021955909314492688, 'h@5_pos_1': 0.07476635514018691, 'h@10_pos_1': 0.1219872110181997, 'h@1_slice_:3': 0.01010597862540804, 'h@5_slice_:3': 0.024862496087287037, 'h@10_slice_:3': 0.03563922550641685, 'h@1_pos_2': 0.02106157492286366, 'h@5_pos_2': 0.07695747439967804, 'h@10_pos_2': 0.13227205652193355, 'h@1_slice_:4': 0.010016545186245137, 'h@5_slice_:4': 0.024325895452309617, 'h@10_slice_:4': 0.034923757993113626, 'h@1_pos_3': 0.845503733846085, 'h@5_pos_3': 0.9306890846487502, 'h@10_pos_3': 0.9404373295175066}
{'h@1_slice_:1': 0.02383401153691365, 'h@5_slice_:1': 0.06340830836649823, 'h@10_slice_:1': 0.09560434646514332, 'h@1_pos_0': 0.02383401153691365, 'h@5_pos_0': 0.06340830836649823, 'h@10_pos_0': 0.09560434646514332, 'h@1_slice_:2': 0.012967848678620936, 'h@5_slice_:2': 0.0312569869874346, 'h@10_slice_:2': 0.042972767517774894, 'h@1_pos_1': 0.022716093547377365, 'h@5_pos_1': 0.0771810579975853, 'h@10_pos_1': 0.12399946339936502, 'h@1_slice_:3': 0.011402763493270133, 'h@5_slice_:3': 0.027456065823011223, 'h@10_slice_:3': 0.03711487725260475, 'h@1_pos_2': 0.02267137682779591, 'h@5_pos_2': 0.07910387693958772, 'h@10_pos_2': 0.1326745069981666, 'h@1_slice_:4': 0.011223896614944327, 'h@5_slice_:4': 0.026740598309708, 'h@10_slice_:4': 0.036175826141394266, 'h@1_pos_3': 0.8369628404060279, 'h@5_pos_3': 0.9276483477172115, 'h@10_pos_3': 0.9392299780888074}
